Time,Time Code,Country Name,Country Code,Net migration [SM.POP.NETM],"Population, total [SP.POP.TOTL]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL]
2007,YR2007,Guinea-Bissau,GNB,-17502,1411545,566.1073629,53.136,..
2007,YR2007,Guyana,GUY,-50078,746477,4443.072619,67.247,..
2007,YR2007,Haiti,HTI,-138004,9495336,1324.870681,59.408,..
2007,YR2007,Honduras,HND,-25000,7808520,2141.375171,72.544,..
2007,YR2007,"Hong Kong SAR, China",HKG,89747,6916300,36371.50931,82.32682927,..
2007,YR2007,Hungary,HUN,25150,10055780,11797.42897,73.15121951,..
2007,YR2007,Iceland,ISL,12007,311566,53646.36902,81.45365854,..
2007,YR2007,India,IND,-2655844,1183209471,1075.994087,65.35,..
2007,YR2007,Indonesia,IDN,-1333685,232374239,2402.667542,68.105,..
2007,YR2007,"Iran, Islamic Rep.",IRN,-576900,71336476,5304.804731,72.626,..
2007,YR2007,Iraq,IRQ,-1102117,27911242,3626.945884,68.13,..
2007,YR2007,Ireland,IRL,197285,4398942,51625.27607,79.64146341,..
2007,YR2007,Isle of Man,IMN,..,82406,65025.63923,..,..
2007,YR2007,Israel,ISR,273635,7180100,31207.60199,80.50487805,..
2007,YR2007,Italy,ITA,1050948,58438310,34081.09033,81.43414634,..
2007,YR2007,Jamaica,JAM,-87319,2768229,5308.440332,74.129,..
2007,YR2007,Japan,JPN,277580,128001000,33990.03603,82.50707317,..
2007,YR2007,Jordan,JOR,649995,6255290,4678.835063,72.931,..
2007,YR2007,Kazakhstan,KAZ,-35196,15484192,8438.104645,66.34,..
2007,YR2007,Kenya,KEN,-189330,38705934,1287.24979,57.463,..
2007,YR2007,Kiribati,KIR,-295,96531,1492.808241,64.953,..
2007,YR2007,"Korea, Dem. People's Rep.",PRK,-24681,24188330,..,68.675,..
2007,YR2007,"Korea, Rep.",KOR,-156546,48683638,23360.90574,79.1195122,..
2007,YR2007,Kosovo,XKX,..,1733404,..,69.19756098,..
2007,YR2007,Kuwait,KWT,479500,2504026,41170.67079,73.807,..
2007,YR2007,Kyrgyz Republic,KGZ,-76604,5268400,900.0255139,67.89512195,..
2007,YR2007,Lao PDR,LAO,-110258,5944950,1325.441644,62.731,..
2007,YR2007,Latvia,LVA,-86594,2200325,13186.24725,71.0195122,..
2007,YR2007,Lebanon,LBN,-26882,4767347,7294.957828,77.609,..
2007,YR2007,Lesotho,LSO,-92476,1986926,911.6284267,42.854,..
2007,YR2007,Liberia,LBR,175585,3461911,608.9904097,57.365,..
2007,YR2007,Libya,LBY,-118555,5974786,14010.49785,72.155,..
2007,YR2007,Liechtenstein,LIE,..,35217,..,81.29512195,..
2007,YR2007,Lithuania,LTU,-150930,3231294,11984.92329,70.9,..
2007,YR2007,Luxembourg,LUX,42279,479993,112417.8785,79.38292683,..
2007,YR2007,"Macao SAR, China",MAC,42381,504504,60249.16965,81.981,..
2007,YR2007,North Macedonia,MKD,-7399,2043559,4017.792101,73.8,..
2007,YR2007,Madagascar,MDG,-7500,19433520,495.3631328,62.079,..
2007,YR2007,Malawi,MWI,-59163,13341808,313.8881112,50.595,..
2007,YR2007,Malaysia,MYS,761878,26720367,7850.426535,73.931,..
2007,YR2007,Maldives,MDV,17994,335172,8534.904233,74.621,..
2007,YR2007,Mali,MLI,-100823,13651455,697.3486293,53.553,..
2007,YR2007,Malta,MLT,5737,406724,19338.3447,79.79268293,..
2007,YR2007,Marshall Islands,MHL,..,56046,3124.085573,..,..
2007,YR2007,Mauritania,MRT,10001,3202512,1510.166566,61.776,..
2007,YR2007,Mauritius,MUS,-12079,1239630,6938.849692,72.57073171,..
2007,YR2007,Mexico,MEX,-562404,109170503,9214.353534,75.255,..
2007,YR2007,"Micronesia, Fed. Sts.",FSM,-12278,104442,3012.947104,65.901,..
2007,YR2007,Moldova,MDA,-47911,2873429,2069.13774,68.302,..
2007,YR2007,Monaco,MCO,..,34524,149446.595,..,..
2007,YR2007,Mongolia,MNG,-10998,2593819,2411.166549,65.985,..
2007,YR2007,Montenegro,MNE,-683,615875,5798.06225,74.33902439,..
2007,YR2007,Morocco,MAR,-565140,31163670,2294.51416,73.009,..
2007,YR2007,Mozambique,MOZ,-40000,21673319,428.7696419,50.934,..
2007,YR2007,Myanmar,MMR,-1336928,49621479,681.8170455,62.294,..
2007,YR2007,Namibia,NAM,8713,2006516,4011.639448,52.593,..
2007,YR2007,Nauru,NRU,..,9846,2824.812659,..,..
2007,YR2007,Nepal,NPL,-971580,26382586,642.968396,66.26,..
2007,YR2007,Netherlands,NLD,65713,16381696,45138.67844,80.09756098,..
2007,YR2007,New Caledonia,NCL,1705,239250,..,76.47804878,..
2007,YR2007,New Zealand,NZL,62413,4223800,36362.68866,80.15121951,..
2007,YR2007,Nicaragua,NIC,-155010,5590066,1674.918715,71.673,..
2007,YR2007,Niger,NER,-20001,14685404,416.746825,54.968,..
2007,YR2007,Nigeria,NGA,-300000,146339971,2089.777154,49.373,..
2007,YR2007,Northern Mariana Islands,MNP,..,55215,21475.27983,..,..
2007,YR2007,Norway,NOR,163433,4709153,75624.4412,80.39512195,..
2007,YR2007,Oman,OMN,267000,2657162,20230.29942,74.893,..
2007,YR2007,Pakistan,PAK,-339805,167808106,1246.579612,64.42,..
2007,YR2007,Palau,PLW,..,19159,13855.46531,..,..
2007,YR2007,Panama,PAN,22244,3453671,9169.153113,76.234,..
2007,YR2007,Papua New Guinea,PNG,38578,6808503,2046.488498,61.141,..
2007,YR2007,Paraguay,PRY,-117900,5998430,4208.04873,72.055,..
2007,YR2007,Peru,PER,-1202758,28333050,4438.593961,73.528,..
2007,YR2007,Philippines,PHL,-1548077,89405482,2250.609385,69.37,..
2007,YR2007,Poland,POL,-178456,38120560,9748.534077,75.24390244,..
2007,YR2007,Portugal,PRT,92133,10542964,19950.8441,78.32195122,..
2007,YR2007,Puerto Rico,PRI,-138043,3782995,29347.89156,78.42585366,..
2007,YR2007,Qatar,QAT,914602,1218441,60926.7383,78.601,..
2007,YR2007,Romania,ROU,-774651,20882982,7450.054733,72.56585366,..
2007,YR2007,Russian Federation,RUS,2326672,142805114,8640.398438,67.58682927,..
2007,YR2007,Rwanda,RWA,-79767,9273759,511.7176695,58.915,..
2007,YR2007,Samoa,WSM,-15085,182045,3948.670864,70.901,..
2007,YR2007,San Marino,SMR,..,30068,65163.05066,..,..
2007,YR2007,Sao Tome and Principe,STP,-3391,166297,1286.745765,65.854,..
2007,YR2007,Saudi Arabia,SAU,1073093,25184589,18496.32452,73.467,..
2007,YR2007,Senegal,SEN,-218014,11687078,1132.006682,62.126,..
2007,YR2007,Serbia,SRB,-119556,7381579,4967.620857,73.63170732,..
2007,YR2007,Seychelles,SYC,-2725,85033,12701.67488,73.14390244,..
2007,YR2007,Sierra Leone,SLE,60000,5989641,500.9282349,46.52,..
2007,YR2007,Singapore,SGP,721338,4588599,46179.65368,80.44146341,..
2007,YR2007,Sint Maarten (Dutch part),SXM,..,33811,..,74.54390244,..
2007,YR2007,Slovak Republic,SVK,-8855,5374622,13734.45328,74.20731707,..
2007,YR2007,Slovenia,SVN,39348,2018122,21574.75344,78.56097561,..
2007,YR2007,Solomon Islands,SLB,-14256,492133,1910.317628,69.762,..
2007,YR2007,Somalia,SOM,-199997,11080122,..,52.998,..
2007,YR2007,South Africa,ZAF,862221,49119766,6060.394209,54.452,..
2007,YR2007,South Sudan,SSD,846611,8315144,..,52.96,..
2007,YR2007,Spain,ESP,2273848,45226803,27218.81724,80.87317073,..
2007,YR2007,Sri Lanka,LKA,-520065,19842044,2542.593553,75.037,..
2007,YR2007,St. Kitts and Nevis,KNA,..,47769,16123.09516,..,..
2007,YR2007,St. Lucia,LCA,4360,167644,10173.59959,74.426,..
2007,YR2007,St. Martin (French part),MAF,..,36138,..,78.02195122,..
2007,YR2007,St. Vincent and the Grenadines,VCT,-5696,108516,7153.532903,71.554,..
2007,YR2007,Sudan,SDN,-982687,32360619,2280.77002,61.422,..
2007,YR2007,Suriname,SUR,-6485,511181,8203.608993,69.579,..
2007,YR2007,Eswatini,SWZ,-38219,1042651,3175.223335,43.308,..
2007,YR2007,Sweden,SWE,262453,9148092,49145.19583,80.9,..
2007,YR2007,Switzerland,CHE,344872,7551117,81804.86184,81.74146341,..
